,cena_brutto_pln,powierzchnia_uzytkowa,liczba_izb,kondygnacja,dzielnica
12745,591406.0,55.19,3.0,4.0,13.0
12761,670800.7,40.9,2.0,2.0,4.0
12763,461102.5,41.99,2.0,2.0,13.0
12779,667099.18,40.66,2.0,2.0,4.0
12781,983566.36,74.96,4.0,2.0,4.0
12783,1218858.9,57.68,3.0,4.0,5.0
12786,648241.87,43.06,3.0,1.0,13.0
12788,543855.0,27.89,2.0,7.0,5.0
12791,656851.02,42.07,2.0,4.0,4.0
12793,817709.04,57.46,3.0,3.0,13.0
12795,794884.0,55.32,2.0,4.0,4.0
12797,961186.2,51.92,3.0,4.0,5.0
12800,480150.0,33.0,2.0,3.0,4.0
12802,770000.0,38.3,2.0,7.0,5.0
12813,680649.43,57.47,3.0,4.0,13.0
12815,2032228.94,109.75,5.0,5.0,2.0
12817,1194253.31,63.85,3.0,7.0,2.0
12819,1050000.0,94.1,5.0,1.0,8.0
12820,1177110.85,66.9,4.0,1.0,2.0
12822,1204462.67,63.71,3.0,8.0,2.0
12824,2039503.02,111.58,4.0,2.0,2.0
12826,775007.88,64.12,3.0,3.0,13.0
12846,536791.5,56.01,3.0,1.0,13.0
12862,461266.0,46.79,2.0,3.0,13.0
12878,580180.0,39.09,2.0,2.0,13.0
12881,660491.43,39.9,2.0,5.0,13.0
12884,511062.25,29.11,1.0,6.0,13.0
12887,523426.0,48.7,2.0,2.0,13.0
12903,2319060.66,111.21,4.0,8.0,2.0
12905,680062.0,59.62,3.0,2.0,13.0
12921,811552.15,63.38,4.0,2.0,13.0
12923,1277980.0,116.64,3.0,1.0,7.0
12929,339642.0,35.18,1.0,1.0,13.0
12945,420010.35,31.25,2.0,6.0,13.0
12947,688580.5,64.13,3.0,2.0,13.0
12963,545283.36,44.14,3.0,4.0,13.0
12965,792000.0,71.04,3.0,1.0,7.0
12970,765136.5,71.31,4.0,4.0,13.0
12986,524287.0,46.98,2.0,2.0,13.0
13002,521880.0,39.74,2.0,1.0,4.0
13005,665951.32,57.56,3.0,5.0,13.0
13007,4379908.5,46.79,2.0,3.0,5.0
13019,587223.0,31.69,2.0,4.0,4.0
13022,523898.79,43.82,3.0,5.0,13.0
13024,648784.41,46.58,3.0,5.0,13.0
13026,27772.95,43.97,3.0,7.0,4.0
13027,2521420.0,94.61,4.0,6.0,5.0
13030,679154.28,43.88,3.0,2.0,13.0
13032,754266.3,65.75,4.0,6.0,13.0
13034,770335.0,50.15,3.0,4.0,4.0
13037,420686.0,27.29,1.0,2.0,4.0
13040,873414.0,68.38,3.0,5.0,4.0
13044,1439108.0,36.82,2.0,5.0,5.0
13050,1135122.0,81.51,4.0,5.0,4.0
13054,1163005.0,57.73,3.0,6.0,5.0
13057,767828.0,36.98,2.0,6.0,5.0
13060,650526.0,49.32,2.0,3.0,4.0
13064,605332.0,33.26,2.0,5.0,5.0
13067,686552.0,49.36,2.0,4.0,4.0
13071,817061.26,59.21,3.0,8.0,11.0
13074,1049123.83,71.47,3.0,9.0,11.0
13077,567136.92,33.06,1.0,3.0,2.0
13080,414418.0,38.5,2.0,7.0,12.0
13081,800000.0,68.43,3.0,6.0,4.0
13085,1011573.24,42.6,2.0,13.0,2.0
13088,1010990.0,82.04,3.0,4.0,4.0
13092,458989.0,41.78,2.0,1.0,13.0
13108,755624.38,52.24,2.0,3.0,4.0
13112,768273.77,59.2,3.0,5.0,11.0
13115,951158.32,42.47,2.0,12.0,2.0
13118,677709.1,49.27,2.0,2.0,4.0
13122,589948.0,52.71,2.0,1.0,13.0
13138,676188.0,51.56,2.0,4.0,4.0
13142,1456014.65,65.29,3.0,9.0,2.0
13145,852290.0,68.18,3.0,6.0,4.0
13149,693275.4,58.6,3.0,4.0,13.0
13165,463648.0,41.7,2.0,4.0,13.0
13181,1067977.69,48.51,2.0,14.0,2.0
13184,950136.88,68.24,3.0,2.0,4.0
13188,1565516.87,75.18,3.0,5.0,2.0
13191,842887.86,65.54,4.0,2.0,13.0
13193,502531.04,46.96,2.0,2.0,13.0
13209,712250.0,54.18,3.0,4.0,4.0
13213,768852.0,74.63,4.0,4.0,13.0
13229,982637.5,68.41,3.0,4.0,4.0
13233,841807.25,63.27,4.0,4.0,13.0
13235,372916.5,37.77,2.0,2.0,13.0
13251,366516.0,37.72,2.0,1.0,13.0
13267,856647.58,57.52,3.0,6.0,13.0
13269,851097.84,62.04,4.0,3.0,13.0
13271,629103.1,55.04,3.0,3.0,13.0
13273,911077.83,61.93,4.0,4.0,13.0
13275,372284.64,31.23,2.0,4.0,13.0
13277,534724.21,44.38,3.0,5.0,13.0
13279,694423.52,51.66,2.0,7.0,11.0
13282,868839.57,49.25,2.0,4.0,2.0
13285,1023246.26,93.46,4.0,2.0,11.0
13288,519320.98,43.46,3.0,1.0,13.0
13290,1247147.87,63.02,3.0,5.0,2.0
13294,448946.03,38.33,2.0,2.0,13.0
13296,717704.55,34.15,1.0,9.0,2.0
13299,684521.49,43.71,3.0,6.0,13.0
13301,344922.0,37.34,2.0,2.0,4.0
13303,1015190.24,77.42,4.0,1.0,13.0
13305,403874.0,37.26,2.0,1.0,4.0
13307,395640.0,39.96,2.0,2.0,4.0
13309,725532.82,30.68,1.0,11.0,2.0
13312,667305.86,43.87,3.0,6.0,13.0
13314,503459.0,50.49,3.0,4.0,4.0
13316,394452.09,31.36,2.0,3.0,13.0
13318,694836.49,35.74,1.0,2.0,2.0
13321,636341.74,57.35,3.0,3.0,13.0
13323,277515.0,26.43,1.0,1.0,4.0
13325,656044.08,55.22,3.0,6.0,13.0
13327,634992.84,55.57,3.0,1.0,13.0
13329,511233.77,47.67,3.0,7.0,15.0
13333,390437.63,33.2,2.0,5.0,13.0
13335,730000.0,54.84,3.0,1.0,11.0
13336,363520.0,37.2,2.0,6.0,15.0
13340,435364.39,33.4,2.0,5.0,13.0
13342,344770.13,33.66,2.0,7.0,15.0
13346,1713523.08,87.82,4.0,6.0,2.0
13348,720091.48,35.91,1.0,8.0,2.0
13350,491983.17,47.17,3.0,8.0,15.0
13354,489178.33,47.8,3.0,3.0,15.0
13358,416832.26,40.95,2.0,5.0,15.0
13362,1769416.75,97.0,4.0,7.0,2.0
13364,391030.0,40.67,2.0,4.0,4.0
13366,1181809.49,121.49,4.0,9.0,4.0
13368,421806.0,39.98,2.0,7.0,4.0
13370,1088270.0,79.04,4.0,1.0,8.0
13373,245974.01,36.25,3.0,5.0,4.0
13374,512005.0,60.65,4.0,2.0,4.0
13376,547549.8,29.55,1.0,2.0,5.0
13379,482175.0,49.25,3.0,6.0,4.0
13381,900016.0,43.27,2.0,5.0,5.0
13384,1096848.53,141.27,7.0,1.0,10.0
13392,515282.05,46.3,3.0,3.0,13.0
13394,1305294.54,72.02,3.0,5.0,2.0
13396,469822.73,40.97,2.0,3.0,13.0
13398,417882.0,40.74,2.0,7.0,4.0
13400,456908.82,40.77,2.0,2.0,13.0
13402,678601.37,59.63,3.0,1.0,13.0
13418,404393.27,37.13,2.0,1.0,13.0
13420,368990.5,37.75,2.0,4.0,13.0
13436,838012.82,68.35,3.0,3.0,11.0
13439,515781.54,46.28,3.0,3.0,13.0
13441,365356.0,37.76,2.0,3.0,13.0
13457,777229.67,63.62,3.0,5.0,11.0
13460,682495.51,46.32,3.0,5.0,13.0
13462,351359.59,39.79,2.0,2.0,4.0
13464,499704.69,44.45,3.0,1.0,13.0
13466,505845.91,42.09,2.0,3.0,13.0
13482,724097.0,54.24,3.0,2.0,13.0
13484,446873.81,40.87,2.0,3.0,15.0
13488,513784.0,50.44,3.0,5.0,4.0
13490,1064009.09,91.81,4.0,8.0,11.0
13493,673688.07,55.38,3.0,5.0,13.0
13495,446873.81,40.87,2.0,2.0,15.0
13500,611593.5,59.85,3.0,2.0,13.0
13520,1074403.79,70.7,3.0,1.0,7.0
13524,456972.48,37.7,2.0,5.0,13.0
13526,491611.0,47.25,2.0,3.0,13.0
13542,471694.9,41.59,2.0,7.0,15.0
13550,707425.77,74.04,4.0,2.0,15.0
13554,700755.36,55.46,3.0,4.0,13.0
13562,419213.81,37.19,2.0,8.0,15.0
13566,658884.29,59.49,3.0,3.0,13.0
13582,450344.0,49.51,3.0,4.0,4.0
13584,953590.0,46.14,2.0,4.0,5.0
13587,410415.81,36.36,2.0,8.0,15.0
13591,350130.0,39.65,2.0,2.0,4.0
13593,1722352.98,96.83,4.0,5.0,2.0
13595,35457.1,36.56,2.0,3.0,18.0
13596,668963.28,38.73,2.0,3.0,3.0
13601,1013397.0,46.29,2.0,4.0,5.0
13604,457528.0,41.76,2.0,1.0,13.0
13620,463200.0,30.88,1.0,1.0,2.0
13621,396900.0,37.39,2.0,9.0,4.0
13623,514280.0,27.95,1.0,5.0,5.0
13626,681352.0,37.03,2.0,4.0,5.0
13629,1656413.32,95.57,4.0,1.0,2.0
13631,2000428.08,109.97,4.0,2.0,2.0
13633,1050000.0,76.48,4.0,2.0,6.0
13675,269181.0,27.19,1.0,2.0,4.0
13677,818528.0,72.16,3.0,4.0,13.0
13693,1189199.64,70.55,5.0,3.0,2.0
13695,342552.0,30.44,1.0,4.0,13.0
13711,1115320.0,52.1,3.0,1.0,5.0
13714,363378.71,37.32,2.0,8.0,4.0
13716,614358.0,33.03,2.0,4.0,5.0
13719,1159484.57,65.37,3.0,3.0,2.0
13721,783740.0,53.23,3.0,6.0,15.0
13722,523871.0,38.65,2.0,7.0,15.0
13723,645536.5,58.95,3.0,2.0,13.0
13739,669100.0,59.46,3.0,3.0,13.0
13755,632434.0,42.93,2.0,1.0,8.0
13757,276209.43,24.91,1.0,1.0,13.0
13759,410203.81,36.34,2.0,7.0,15.0
13767,524826.73,46.27,3.0,5.0,13.0
13769,514892.0,36.21,2.0,3.0,15.0
13770,447712.13,41.04,2.0,8.0,15.0
13774,453570.23,41.77,2.0,2.0,13.0
13790,466956.0,43.39,2.0,6.0,12.0
13791,447899.07,41.43,2.0,2.0,13.0
13807,401004.0,50.76,2.0,2.0,15.0
13808,376467.21,38.53,2.0,1.0,13.0
13810,734916.0,52.11,3.0,6.0,15.0
13811,539844.29,44.45,3.0,2.0,13.0
13813,423903.0,38.5,2.0,2.0,13.0
13829,549239.35,42.04,2.0,4.0,13.0
13831,382929.94,36.9,2.0,4.0,15.0
13835,769893.27,55.28,3.0,2.0,13.0
13837,1139713.9,83.46,4.0,2.0,8.0
13838,734434.0,53.57,3.0,6.0,15.0
13839,434066.14,33.53,2.0,5.0,15.0
13843,400941.58,33.37,2.0,6.0,13.0
13845,930000.0,62.71,3.0,6.0,6.0
13848,1288000.0,91.99,5.0,6.0,15.0
13849,435838.98,37.68,2.0,3.0,13.0
13851,369383.16,36.58,2.0,9.0,15.0
13855,654591.0,59.59,3.0,3.0,13.0
13871,585930.19,59.82,3.0,9.0,15.0
13875,762000.0,53.57,3.0,4.0,15.0
13876,438759.8,37.16,2.0,6.0,13.0
13878,738236.17,52.19,3.0,1.0,13.0
13880,528960.0,27.84,1.0,1.0,5.0
13883,674803.0,35.33,2.0,5.0,5.0
13886,801040.16,79.63,5.0,2.0,13.0
13888,860476.0,43.24,2.0,2.0,5.0
13891,539736.24,46.21,3.0,2.0,13.0
13893,533642.75,46.2,3.0,1.0,13.0
13895,679268.0,63.43,3.0,2.0,13.0
13911,564130.95,46.22,3.0,6.0,13.0
13913,672774.98,56.02,3.0,4.0,13.0
13929,796289.45,64.01,4.0,1.0,13.0
13931,494512.0,46.8,2.0,2.0,13.0
13947,695000.0,41.0,2.0,4.0,5.0
13950,631180.0,33.22,2.0,6.0,5.0
13953,1245000.0,81.12,5.0,3.0,15.0
13954,823878.0,53.98,3.0,5.0,15.0
13955,964500.0,46.25,2.0,7.0,5.0
13958,662167.0,35.41,2.0,3.0,5.0
13961,463071.0,60.59,4.0,3.0,4.0
13963,562000.0,38.66,2.0,6.0,15.0
13964,909655.38,81.32,3.0,4.0,8.0
13966,1290000.0,81.0,5.0,4.0,15.0
13967,347390.13,33.62,2.0,7.0,15.0
13971,458818.16,43.82,3.0,9.0,15.0
13975,818314.32,59.25,3.0,9.0,11.0
13978,970000.0,67.7,4.0,3.0,15.0
13979,1059308.99,91.84,4.0,7.0,11.0
13982,385983.97,40.56,2.0,1.0,15.0
13992,648804.17,54.07,3.0,3.0,13.0
13994,663679.78,41.48,2.0,1.0,15.0
13998,640282.97,42.19,2.0,8.0,11.0
14001,494060.0,54.65,3.0,7.0,15.0
14005,441894.98,47.87,3.0,9.0,15.0
14009,786291.84,67.99,3.0,2.0,11.0
14012,443610.91,47.88,3.0,10.0,15.0
14016,1002846.34,79.01,4.0,2.0,13.0
14018,805000.0,53.05,3.0,4.0,15.0
14019,816139.2,61.33,4.0,2.0,13.0
14021,795000.0,54.04,3.0,4.0,15.0
14022,494662.0,42.36,2.0,4.0,13.0
14038,684687.98,48.72,2.0,2.0,8.0
14039,561448.84,47.16,2.0,2.0,13.0
14055,511967.94,42.1,2.0,3.0,13.0
14057,1704973.1,97.54,4.0,8.0,2.0
14059,894628.91,64.14,4.0,5.0,13.0
14061,797451.05,71.25,3.0,4.0,11.0
14064,466399.0,42.03,2.0,4.0,13.0
14080,773789.12,55.37,3.0,2.0,13.0
14082,794000.0,53.03,3.0,5.0,15.0
14083,1135000.0,79.38,4.0,6.0,15.0
14084,776000.0,53.36,3.0,2.0,15.0
14085,1450000.0,88.79,5.0,7.0,15.0
14086,512240.0,38.66,2.0,4.0,15.0
14087,400098.04,37.33,2.0,2.0,13.0
14089,940449.81,80.98,4.0,3.0,11.0
14092,302040.0,30.54,1.0,4.0,13.0
14108,451529.44,40.97,2.0,1.0,13.0
14110,1060000.0,72.32,3.0,3.0,2.0
14111,459023.27,28.65,1.0,6.0,11.0
14114,542648.11,46.89,2.0,1.0,13.0
14130,625858.54,46.36,3.0,3.0,13.0
14132,623897.38,41.12,2.0,1.0,13.0
14134,542538.96,45.04,2.0,1.0,13.0
14153,685952.23,55.23,3.0,3.0,13.0
14155,789674.92,69.8,3.0,6.0,15.0
14156,955122.0,78.73,3.0,5.0,4.0
14158,622934.99,55.17,3.0,5.0,13.0
14160,763007.12,69.23,4.0,10.0,15.0
14161,529375.27,46.33,3.0,4.0,13.0
14163,759660.0,69.04,4.0,3.0,15.0
14164,500980.94,42.1,2.0,5.0,13.0
14166,418342.0,38.44,2.0,4.0,13.0
14182,639236.0,46.84,3.0,1.0,13.0
14183,687660.0,51.68,3.0,7.0,15.0
14184,697774.46,55.32,3.0,4.0,13.0
14186,487400.0,34.84,2.0,7.0,15.0
14187,557956.33,47.17,2.0,2.0,13.0
14203,607757.45,41.08,2.0,1.0,13.0
14205,651612.0,63.65,3.0,2.0,13.0
14221,802981.9,75.95,4.0,3.0,13.0
14223,524480.0,47.0,2.0,2.0,13.0
14239,496558.71,42.11,2.0,2.0,13.0
14241,499188.0,46.88,2.0,3.0,13.0
14257,1280001.0,85.06,3.0,5.0,5.0
14258,568052.1,42.12,2.0,1.0,13.0
14260,799449.3,55.5,3.0,6.0,13.0
14262,1811952.0,88.38,4.0,1.0,14.0
14267,546144.0,46.3,3.0,6.0,13.0
14269,891452.0,47.41,2.0,1.0,14.0
14274,372364.18,33.38,2.0,2.0,13.0
14276,675042.75,46.24,3.0,1.0,13.0
14278,1831970.0,88.46,4.0,3.0,14.0
14283,1062900.0,69.42,4.0,2.0,6.0
14285,605242.5,59.81,3.0,2.0,13.0
14301,512189.47,42.12,2.0,6.0,13.0
14303,902578.82,72.18,3.0,1.0,13.0
14319,852000.0,51.86,3.0,3.0,6.0
14321,446925.0,49.05,3.0,4.0,4.0
14323,661344.43,43.15,3.0,4.0,13.0
14325,493115.0,53.19,3.0,3.0,4.0
14327,688652.37,43.36,2.0,4.0,13.0
14329,90961.0,55.38,4.0,3.0,16.0
14330,666455.08,43.21,3.0,5.0,13.0
14332,653392.0,63.38,3.0,3.0,13.0
14348,721137.56,46.32,3.0,6.0,13.0
14350,316758.0,27.43,1.0,9.0,4.0
14352,701808.63,44.29,3.0,6.0,13.0
14354,647556.11,43.87,3.0,2.0,13.0
14356,374366.68,37.43,2.0,2.0,4.0
14358,369072.0,37.28,2.0,3.0,4.0
14360,772690.65,56.19,3.0,4.0,13.0
14362,413034.0,33.7,2.0,4.0,15.0
14363,361395.0,36.13,1.0,1.0,13.0
14379,815200.0,69.31,4.0,9.0,15.0
14380,436412.0,39.94,2.0,4.0,4.0
14382,534784.0,37.67,2.0,6.0,15.0
14383,279990.0,27.45,1.0,5.0,4.0
14385,244120.0,36.95,2.0,6.0,15.0
14386,351962.45,30.14,2.0,5.0,13.0
14388,753536.54,56.19,3.0,2.0,13.0
14390,986000.0,59.66,3.0,3.0,6.0
14392,458058.0,49.22,3.0,8.0,4.0
14394,378480.0,30.62,1.0,4.0,13.0
14410,965000.0,59.61,3.0,2.0,6.0
14412,502367.06,42.89,3.0,4.0,13.0
14414,479664.0,49.28,3.0,7.0,4.0
14416,345769.79,30.05,2.0,3.0,13.0
14418,626325.0,40.02,2.0,2.0,13.0
14421,570378.0,53.61,3.0,8.0,4.0
14423,433119.0,39.27,2.0,1.0,4.0
14425,709380.0,52.26,3.0,5.0,15.0
14426,338096.0,37.12,2.0,3.0,4.0
14428,572973.0,60.71,4.0,1.0,4.0
14430,1146500.0,60.36,3.0,8.0,4.0
14431,394713.0,39.87,2.0,1.0,4.0
14433,758268.0,53.01,3.0,4.0,15.0
14434,523560.0,53.6,3.0,7.0,4.0
14436,784775.0,53.26,3.0,6.0,15.0
14437,447942.0,49.24,3.0,7.0,4.0
14439,720000.0,53.37,3.0,2.0,15.0
14440,660380.04,52.0,2.0,4.0,11.0
14443,1114500.0,75.2,4.0,4.0,15.0
14444,677120.0,50.16,3.0,5.0,4.0
14446,652737.87,51.3,2.0,8.0,11.0
14449,674920.03,49.05,3.0,5.0,11.0
14452,1222240.0,76.06,4.0,5.0,13.0
14453,2680939.55,116.91,4.0,6.0,2.0
14456,476330.0,44.13,2.0,7.0,12.0
14457,390000.0,26.31,1.0,1.0,8.0
14458,764000.0,52.25,3.0,7.0,15.0
14459,562107.92,50.19,2.0,3.0,11.0
14462,467858.46,27.62,1.0,9.0,11.0
14465,826304.0,53.08,3.0,7.0,15.0
14466,762411.0,37.08,1.0,3.0,2.0
14469,700000.0,53.57,3.0,5.0,15.0
14470,716972.0,52.11,3.0,2.0,15.0
14471,773364.59,32.96,1.0,14.0,2.0
14474,755000.0,53.4,3.0,1.0,15.0
14475,759486.0,53.29,3.0,4.0,15.0
14476,1054493.8,48.13,1.0,10.0,2.0
14479,719208.0,52.25,3.0,3.0,15.0
14480,834994.31,63.28,4.0,3.0,13.0
14482,1507482.09,69.72,4.0,8.0,2.0
14485,308097.0,55.25,3.0,1.0,13.0
14487,1139500.0,103.81,4.0,1.0,10.0
14488,784121.7,42.05,1.0,4.0,2.0
14491,776934.0,50.07,3.0,2.0,4.0
14494,1024042.42,44.98,2.0,13.0,2.0
14497,868329.5,56.32,3.0,6.0,13.0
14499,924194.09,78.45,4.0,4.0,13.0
14501,1900000.0,99.15,4.0,2.0,5.0
14511,588098.76,44.13,2.0,4.0,13.0
14513,971073.92,42.46,2.0,14.0,2.0
14516,686042.95,55.7,3.0,1.0,13.0
14518,703256.0,50.29,3.0,1.0,4.0
14521,853805.0,55.09,3.0,2.0,4.0
14524,527150.0,58.13,3.0,3.0,17.0
14525,613702.0,73.94,4.0,1.0,10.0
14533,966301.0,69.87,4.0,1.0,15.0
14534,815681.21,35.73,1.0,13.0,2.0
14537,682877.4,34.63,1.0,2.0,2.0
14540,893895.0,70.8,4.0,1.0,4.0
14544,1026274.18,91.67,4.0,6.0,11.0
14547,2607970.69,116.39,4.0,10.0,2.0
14550,420425.0,47.66,2.0,3.0,17.0
14551,549316.0,38.44,3.0,6.0,15.0
14552,817955.23,68.27,3.0,4.0,11.0
14555,771117.45,45.98,1.0,2.0,2.0
14558,860000.0,56.13,3.0,5.0,6.0
14561,582868.18,32.96,1.0,6.0,2.0
14566,764973.55,37.1,1.0,9.0,2.0
14569,964700.54,68.21,3.0,3.0,4.0
14573,749792.0,53.26,3.0,4.0,15.0
14574,1087174.0,71.94,4.0,2.0,15.0
14575,2454455.81,108.17,4.0,7.0,2.0
14578,1001036.4,81.62,4.0,3.0,4.0
14582,1375000.0,98.28,4.0,3.0,4.0
14586,593250.0,62.55,3.0,2.0,17.0
14588,1200000.0,84.97,4.0,7.0,15.0
14589,491253.0,33.59,1.0,1.0,15.0
14590,813845.59,35.73,1.0,7.0,2.0
14593,388383.13,30.06,2.0,5.0,13.0
14595,768367.0,53.58,2.0,2.0,4.0
14597,1135000.0,79.05,4.0,1.0,15.0
14598,521589.05,44.46,3.0,4.0,13.0
14600,1025000.0,67.81,4.0,4.0,15.0
14601,824000.0,53.29,3.0,6.0,15.0
14602,1263711.5,56.65,3.0,5.0,5.0
14605,1063296.0,46.24,2.0,6.0,5.0
14608,439555.0,63.66,4.0,2.0,4.0
14634,586666.43,46.45,3.0,3.0,13.0
14636,935654.57,63.26,4.0,6.0,13.0
14638,495259.62,38.4,2.0,5.0,13.0
14640,672927.48,43.8,3.0,5.0,13.0
14642,877610.0,46.19,2.0,3.0,5.0
14645,1362000.0,69.07,4.0,2.0,5.0
14647,1345862.0,77.16,3.0,2.0,5.0
14657,546490.0,29.54,1.0,3.0,5.0
14660,382785.99,40.55,2.0,7.0,4.0
14662,532174.0,31.58,2.0,1.0,4.0
14665,377144.0,25.16,1.0,4.0,4.0
14668,907081.0,54.95,3.0,2.0,4.0
14671,822649.48,56.32,3.0,3.0,13.0
14673,651564.04,43.38,2.0,3.0,13.0
14675,667925.98,56.18,3.0,5.0,13.0
14677,866191.96,64.41,4.0,4.0,13.0
14679,504833.42,42.84,3.0,6.0,13.0
14681,514036.8,44.41,3.0,2.0,13.0
14683,765000.91,33.98,1.0,12.0,2.0
14686,1160000.0,72.34,3.0,1.0,4.0
14687,589771.81,33.08,1.0,8.0,2.0
14690,1061900.0,70.85,3.0,1.0,7.0
14694,711230.0,42.66,2.0,1.0,13.0
14695,1770745.0,107.79,4.0,2.0,7.0
14699,826361.49,45.74,1.0,4.0,2.0
14702,445000.0,53.04,3.0,1.0,10.0
14712,823505.0,45.97,2.0,2.0,13.0
14713,510000.0,53.13,3.0,1.0,10.0
14723,1209303.51,71.73,2.0,1.0,7.0
14727,1573420.42,107.85,4.0,2.0,7.0
14731,831590.0,46.46,2.0,3.0,13.0
14732,324500.0,26.19,1.0,3.0,4.0
14736,823505.0,45.97,2.0,1.0,13.0
14737,768739.86,40.73,1.0,3.0,2.0
14740,522614.0,27.79,1.0,3.0,5.0
14743,785737.39,40.81,1.0,4.0,2.0
14746,1958462.4,103.27,5.0,3.0,5.0
14749,1038413.0,69.67,3.0,1.0,8.0
14750,565000.0,79.79,2.0,1.0,10.0
14760,785582.0,38.58,1.0,3.0,5.0
14763,829775.0,46.35,2.0,2.0,13.0
14764,1189746.0,83.77,4.0,8.0,13.0
14767,386000.0,28.9,2.0,1.0,15.0
14771,802933.99,52.55,3.0,4.0,13.0
14774,814593.9,45.66,1.0,3.0,2.0
14777,882410.0,49.54,2.0,1.0,13.0
14778,891050.0,43.3,2.0,4.0,5.0
14781,438000.0,53.86,2.0,1.0,10.0
14797,771275.03,41.99,1.0,3.0,2.0
14800,721280.57,34.03,1.0,11.0,2.0
14803,587819.81,32.04,1.0,7.0,2.0
14806,663096.0,61.06,4.0,6.0,4.0
14808,707451.62,34.56,1.0,5.0,2.0
14811,762840.0,60.07,3.0,2.0,4.0
14815,548000.0,79.75,3.0,1.0,10.0
14825,860127.43,35.72,1.0,12.0,2.0
14828,465172.0,49.56,3.0,6.0,4.0
14830,1300000.0,81.02,4.0,5.0,8.0
14831,727768.44,52.18,2.0,4.0,4.0
14835,452637.32,38.51,2.0,1.0,13.0
14837,974953.66,68.48,3.0,5.0,4.0
14841,405594.0,37.51,2.0,8.0,4.0
14843,689604.81,33.1,1.0,5.0,2.0
14846,532000.0,80.38,2.0,1.0,10.0
14856,1039387.03,45.06,2.0,14.0,2.0
14859,459391.05,38.78,2.0,1.0,13.0
14861,448572.0,50.48,3.0,3.0,4.0
14863,771684.0,59.41,3.0,1.0,4.0
14867,372943.71,37.27,2.0,6.0,4.0
14869,749000.0,43.81,2.0,3.0,4.0
14870,725656.0,59.48,3.0,3.0,4.0
14874,672694.0,52.27,2.0,3.0,4.0
14878,570888.0,61.01,4.0,4.0,4.0
14880,713000.0,40.47,2.0,3.0,4.0
14881,1152755.0,83.26,4.0,7.0,13.0
14884,842167.36,55.78,3.0,5.0,4.0
14886,529586.39,38.39,2.0,3.0,13.0
14888,910000.0,54.53,3.0,2.0,4.0
14889,1095000.0,57.34,3.0,4.0,4.0
14890,628135.68,43.35,2.0,6.0,13.0
14892,501300.0,27.85,1.0,2.0,5.0
14895,585870.0,33.1,2.0,1.0,5.0
14898,904138.86,78.26,4.0,6.0,13.0
14900,1092000.0,61.3,3.0,1.0,4.0
14901,616567.0,39.69,2.0,3.0,4.0
14904,786850.0,31.65,2.0,1.0,4.0
14910,578870.0,40.22,2.0,4.0,5.0
14911,1043319.13,45.45,2.0,12.0,2.0
14914,751768.0,53.08,3.0,3.0,15.0
14915,694598.18,32.03,1.0,6.0,2.0
14918,1048159.0,67.78,4.0,2.0,15.0
14919,1202674.11,64.29,3.0,3.0,2.0
14922,485000.0,34.83,2.0,5.0,15.0
14923,558686.0,34.73,2.0,6.0,15.0
14924,1309000.0,75.98,4.0,1.0,12.0
14928,660887.1,28.06,1.0,11.0,2.0
14931,700430.0,54.1,3.0,2.0,4.0
14935,909673.97,37.1,1.0,12.0,2.0
14938,576960.0,36.06,1.0,3.0,13.0
14939,1051658.52,53.04,3.0,5.0,5.0
14942,363712.0,37.36,2.0,6.0,4.0
14944,741701.5,42.24,2.0,2.0,2.0
14951,291260.0,27.4,1.0,6.0,4.0
14953,788440.0,55.44,2.0,3.0,4.0
14955,248470.0,36.98,2.0,7.0,15.0
14956,627826.0,49.26,3.0,4.0,15.0
14959,504075.0,35.25,1.0,6.0,2.0
14962,685197.92,30.84,1.0,10.0,2.0
14965,849870.0,40.47,1.0,4.0,1.0
14968,527282.7,37.69,2.0,10.0,15.0
14969,687000.0,51.68,3.0,5.0,15.0
14970,785932.8,52.48,3.0,3.0,13.0
14973,554300.0,49.3,3.0,7.0,15.0
14974,831345.0,52.86,3.0,6.0,13.0
14977,816626.2,53.99,3.0,3.0,13.0
14980,621572.0,39.3,2.0,3.0,13.0
14983,615488.66,39.63,2.0,1.0,13.0
14986,650377.0,42.21,2.0,1.0,13.0
14989,356934.0,39.87,2.0,4.0,4.0
14991,376780.0,37.42,2.0,5.0,4.0
14993,275374.0,33.66,2.0,6.0,15.0
14994,721523.2,46.4,2.0,4.0,4.0
14996,396244.0,33.72,2.0,2.0,15.0
14997,364165.36,45.17,3.0,7.0,15.0
14998,668510.0,40.17,2.0,5.0,13.0
15001,671452.04,40.21,2.0,5.0,13.0
15004,477997.0,28.76,1.0,4.0,13.0
15007,629889.0,39.32,2.0,6.0,13.0
15010,788487.54,35.65,1.0,6.0,2.0
15013,658205.84,42.14,2.0,2.0,13.0
15016,1123700.85,83.98,4.0,8.0,13.0
15019,553014.0,36.21,2.0,5.0,15.0
15020,757444.0,53.57,3.0,3.0,15.0
15021,1290000.0,88.65,5.0,3.0,15.0
15022,777000.0,53.38,3.0,7.0,15.0
15023,993859.71,45.22,2.0,13.0,2.0
15026,955119.57,49.66,1.0,8.0,2.0
15029,666388.32,40.88,2.0,5.0,4.0
15031,739463.99,37.22,1.0,10.0,2.0
15034,517066.0,38.47,2.0,4.0,15.0
15035,671234.23,33.97,1.0,5.0,2.0
15038,710704.69,42.21,2.0,6.0,13.0
